disasterNumber,,FederalFunded,ProjectAmount
1954,SEVERE WINTER STORM AND SNOWSTORM,52385508.5,69282501.13
1930,"SEVERE STORMS, FLOODING, AND TORNADOES",52178015.97,69179777.15
1984,FLOODING,52081233.58,69249992
1974,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND ASSOCIATED FLOODING",52052621.84,68838890.25
1817,"SEVERE WINTER STORM, LANDSLIDES, MUDSLIDES, AND FLOODING",52045723.18,68842600.21
4068,TROPICAL STORM DEBBY,51932652.72,69038946.03
1813,SEVERE WINTER STORM AND FLOODING,51897563.85,68593599.29
4238,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",51538284.49,68121569.83
3140,#N/A,50508112,67344149.27
4029,WILDFIRES,50313452.53,66303690.49
1975,"SEVERE STORMS, TORNADOES, AND ASSOCIATED FLOODING",50084116.21,66866095.22
1924,SEVERE STORMS AND FLOODING,49926354.5,66539500
4256,SEVERE WINTER STORMS AND FLOODING,49464439.45,65288215.03
1887,SEVERE WINTER STORM,49059867.72,65237401.62
1768,"SEVERE STORMS, TORNADOES, AND FLOODING",48563081.65,62637325.62
3201,#N/A,48298360.54,64397812.72
1960,SEVERE WINTER STORM AND SNOWSTORM,48259660.62,64176935.84
4262,SEVERE WINTER STORM AND SNOWSTORM,48225927.95,63966267.3
4335,HURRICANE IRMA,46636825.35,46725542.92
1998,FLOODING,46273268.6,61541064.5
4165,SEVERE WINTER STORM,46114032.3,58357013.83
4267,SEVERE WINTER STORM AND SNOWSTORM,45248466.71,59838434.53
3215,#N/A,44511214.63,44511214.63
1898,SEVERE WINTER STORMS AND SNOWSTORMS,44167865.22,58749230.74
4042,EARTHQUAKE,43550470.92,57768614.68
4069,SEVERE STORMS AND FLOODING,43464442.03,57459506.06
4155,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",43113022.91,56550603.11
4023,TROPICAL STORM IRENE,42846150.16,56826328.33
1957,SEVERE WINTER STORM AND SNOWSTORM,42725102.27,56966802.06
4245,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",42306942.78,55868367.42
4152,"SEVERE STORMS, FLOODING, AND MUDSLIDES",42094920.67,55691605.44
1996,SEVERE STORMS AND FLOODING,41980729.04,55951692.3
4182,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",41197508.08,54459727.13
1751,"SEVERE STORMS, TORNADOES, AND FLOODING",41085016.65,54339230.56
1857,SEVERE STORMS AND FLOODING,40957788.89,54919384.95
4081,HURRICANE ISAAC,40813881.86,54328246.29
4305,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",40791618.29,53028917.42
4235,TYPHOON SOUDELOR,39318029.85,43772038.91
1805,SEVERE WIND STORM ASSOCIATED WITH TROPICAL DEPRESSION IKE,38841921.56,51690278.62
4138,SEVERE STORMS AND FLOODING,38802254.91,51330576.82
4167,SEVERE WINTER STORM,38781148.93,48514579.89
1783,SEVERE STORMS AND FLOODING,38628220.78,51346274.53
1968,TSUNAMI WAVES,37769036.6,49950192.33
4250,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",37664340.42,49799713.59
1770,"SEVERE STORMS, TORNADOES, AND FLOODING",36258650.19,48290694.21
4211,SEVERE WINTER STORM AND FLOODING,35648331.19,46341509.73
4251,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",35263146.3,46545273.49
3181,#N/A,35239543.04,47041870.53
4176,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",34997365.92,45000191.4
3191,#N/A,34491571.61,45988761.03
3217,#N/A,34396972.56,34396972.56
1993,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS",34389479.69,45852636.88
3127,#N/A,33242785.5,44323714
4002,SEVERE STORMS AND FLOODING,32964612.36,43743233.34
4162,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",32950593.68,43604541.51
3184,#N/A,32646623.55,43583922.22
1841,"SEVERE STORMS, TORNADOES, FLOODING AND MUDSLIDES",32484723.1,35563041.37
1976,"SEVERE STORMS, TORNADOES, AND FLOODING",32295722.74,42777097.49
4320,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",31888675.97,41106267.92
4091,HURRICANE SANDY,31877461.28,42372611.38
4106,SEVERE WINTER STORM AND SNOWSTORM,31749590.95,42021024.55
4210,"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",31692511.8,42196096.39
1897,SEVERE STORMS AND FLOODING,31580849.98,41983423.13
1831,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS",31109305.66,41107071.65
4204,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",30882036.45,41154080.72
3131,#N/A,30791421.08,41055227.09
4056,"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",30551050.13,40420912.64
4028,TROPICAL STORM IRENE,30168386.47,40158289.82
4247,SEVERE WINTER STORMS AND FLOODING,29857738.46,37976966.25
4116,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",29762490.92,39820632.31
1830,SEVERE STORMS AND FLOODING,29675993.97,39194602.22
4136,EXPLOSION,28967038.46,38343969.25
4269,SEVERE STORMS AND FLOODING ,28964937.41,37824175.08
4299,SEVERE WINTER STORM,28924322.29,38335987.59
3322,FLOODING,28922892.77,38380440.58
4193,EARTHQUAKE,28887429.23,38222743.75
4168,FLOODING AND MUDSLIDES,28747995.53,36363337.92
1773,SEVERE STORMS AND FLOODING,28697245.28,35755418.49
1884,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",28353445.34,37392187.03
1737,SEVERE WINTER STORM,28052065.58,37296982.21
1905,SEVERE WINTER STORMS AND SNOWSTORMS,27888157.43,36957373.75
1800,SEVERE STORMS AND FLOODING,27884821.59,37122249.73
3175,#N/A,27849920.28,37141185.55
1798,SEVERE STORMS AND FLOODING,27628716.85,36650635.61
3290,HURRICANE GUSTAV,27385680.76,36432889.89
4292,SEVERE STORMS AND FLOODING,27323547.17,36024422.15
1847,"SEVERE STORMS, TORNADOES, AND FLOODING",27072334.75,35946967.93
4180,SEVERE STORMS AND FLOODING,26982775.19,35864761.77
1911,EARTHQUAKE,26927262.68,35544211.78
1901,SEVERE WINTER STORM,26651652.74,35489310.62
4048,SEVERE STORM,26548791.05,35235139.5
4122,FLOODING,26415411.87,35220549.02
1825,SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW,26341587.62,34812993.19
1749,SEVERE STORMS AND FLOODING,26045574.54,34555581.36
1959,SEVERE WINTER STORM AND SNOWSTORM,25955715.57,34565869.99
4079,FLOODING,25902593.77,33984491.58
1895,SEVERE STORMS AND  FLOODING,25820705.01,34124969.79
4025,HURRICANE IRENE,25638857.47,33944343.18
1941,SEVERE STORMS AND FLOODING,25610976.28,33872384.36
4255,"SEVERE WINTER STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",25238904.52,33240553.95
1795,SEVERE STORMS AND FLOODING,25056463.95,33230087.11
1794,HURRICANE GUSTAV,24949429.23,32728999.03
1736,SEVERE WINTER STORMS,24948123.75,33198119.78
4258,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",24766000.62,32528802.85
1875,SEVERE WINTER STORM AND SNOWSTORM,24581512.14,32760309.97
1894,SEVERE STORMS AND  FLOODING,24529662.01,27156214.11
3134,#N/A,24508391.71,34330429.17
4188,WILDFIRES,24159807.89,32252031.61
4111,SEVERE WINTER STORM AND SNOWSTORM,23938333.17,31803594.82
1972,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND ASSOCIATED FLOODING",23820766.53,31508616.46
4318,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",23445880.57,31137578.17
3105,#N/A,23082023.19,30774193.36
4309,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES,  MUDSLIDES",22901867.01,30225441.03
1874,SEVERE WINTER STORM AND SNOWSTORM,22887905.74,30256783.52
4158,RIM FIRE,22608079.95,29797749.83
1912,"SEVERE STORMS, FLOODING, MUDSLIDES, AND TORNADOES",22592444.08,25153449.32
4249,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",22492898.52,29286201.7
1946,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES ASSOC W TS OTTO",22359797.02,29618120.77
1943,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",22213776.98,29527634.14
4297,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",21988189.91,28931811.56
4072,SEVERE STORMS AND STRAIGHT-LINE WINDS,21744813.76,28660257.4
4012,FLOODING,21739243.52,28963271.41
4229,"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",21643001.99,28605859.02
1915,FLOODING ,21498619.82,28559259.83
4322,SEVERE WINTER STORM AND SNOWSTORM,21464386.19,28618516.15
4084,HURRICANE ISAAC,21449119.72,28396052.48
1754,"SEVERE STORMS, TORNADOES, AND FLOODING",21424128.64,28419445.86
1838,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES",21409371.72,23080284.69
4094,"SEVERE STORM, STRAIGHT-LINE WINDS, FLOODING, AND LANDSLIDES",21120829.64,28065221.46
1833,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS",21085898.04,28120970.11
1982,SEVERE STORMS AND FLOODING,20615128.91,27256412.59
4243,WILDFIRES AND MUDSLIDES,20597805.51,27466073.64
4218,"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES",20577260.9,27172850.22
4126,"SEVERE STORMS, TORNADOES, AND FLOODING",20510097.83,27192809.52
1973,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND ASSOCIATED FLOODING",20414118.75,27052353.28
3165,#N/A,20369039.09,27158718.26
4259,SEVERE STORMS AND FLOODING,20352313.45,27081429.6
4047,FLOODING,20335927.94,26811940.14
3180,#N/A,20251032.21,27001374.11
1868,SEVERE WINTER STORM,19988438.27,26621054.1
1870,SEVERE STORMS AND FLOODING,19986986.22,26425480.68
4266,"SEVERE STORMS, TORNADOES, AND FLOODING",19903538.95,26233936.77
4034,HURRICANE IRENE,19868844.47,26556750.79
1931,HURRICANE ALEX,19844963.25,26226156.74
1907,FLOODING,19679317.4,25951012.91
1843,FLOODING AND ICE JAMS,19558149.68,25955186.3
4098,SEVERE STORMS AND FLOODING DUE TO THE REMNANTS OF HURRICANE SANDY,19551083.88,25942753.63
1979,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",19267197.85,25465741.04
1969,"SEVERE STORMS, TORNADOES, AND FLOODING",19183383.24,25347831.8
1871,SEVERE WINTER STORMS AND FLOODING,18885702.86,25048090.6
1802,SEVERE WIND STORM ASSOCIATED WITH TROPICAL DEPRESSION IKE,18812748.86,24940715.94
1827,SEVERE WINTER STORM,18571978.65,24643912.26
3179,#N/A,18512249.27,24682795.37
3097,#N/A,18160382.8,24213842.67
4026,TROPICAL STORM IRENE,18153771.06,24066168.86
1876,SEVERE WINTER STORM,18085951.67,23993618.13
1835,"SEVERE STORMS, FLOODING, TORNADOES & STRAIGHT-LINE",18067054.08,23924593.54
3384,HURRICANE IRMA,17913272.06,22736854.32
4144,"SEVERE STORMS, STRAIGHT-LINE WINDS AND FLOODING",17858421.54,23616765.72
4184,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",17675042.53,23293994.78
4260,SNOWSTORM,17661717.79,23522755.33
1934,"SEVERE STORMS, FLOODING, AND TORNADOES",17450052.93,23384592.3
4077,SEVERE STORMS AND STRAIGHT-LINE WINDS,16595662.54,22035744.51
3170,#N/A,16104410.42,21472546.55
3161,#N/A,15864191.99,21550725.49
1745,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",15849065.62,20984458.79
1850,"SEVERE STORMS, FLOODING, AND TORNADOES",15612814.36,20854380.54
1861,"SEVERE STORMS, TORNADOES, AND FLOODING",15536008.76,20550088.27
4291,HURRICANE MATTHEW,15438827.18,19721826.13
3173,#N/A,15371971.84,20523516.7
4055,"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",15279403.94,20219491.31
4195,SEVERE STORMS AND FLOODING,15239642.76,19156523.58
1885,SEVERE WINTER STORMS AND SNOWSTORM,15069225.02,19963582.29
3277,#N/A,15025862.3,20070128.31
1812,SEVERE WINTER STORM,14898663.36,19862626.63
4314,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",14861551.92,18763154.38
1869,SEVERE STORMS AND FLOODING ASSOC W TD IDA & NOR'EASTER,14742880.72,19648332.64
4057,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING",14740992.57,19500627.27
4093,HURRICANE SANDY,14643875.57,19495344.71
1777,"SEVERE STORMS, TORNADOES, AND FLOODING",14547910.96,19359750.17
1889,SEVERE WINTER STORM AND SNOWSTORM,14488213.64,19168214.34
4187,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",14443863.93,18856651.33
1873,SNOWSTORM,14200921.24,18781789.03
4131,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",14013795.73,18483339.81
1991,SEVERE STORMS AND FLOODING,13938556.78,18764512.42
4307,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",13895934.29,18374125.66
4225,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",13826232.47,18365499.39
1958,SNOWSTORM,13744126.49,18292802.33
4289,SEVERE STORMS AND FLOODING,13682868.14,18098782.95
1997,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND",13658731.09,18056787.78
4315,"SEVERE STORMS, TORNADOES, AND FLOODING",13533286.63,17998596.69
4331,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",13410410.87,17859315.64
4296,SEVERE WINTER STORM AND FLOODING,13395543.46,17378892.12
3095,#N/A,13387488.92,17849984.91
1995,SEVERE STORMS AND FLOODING,13353019.85,17698059.91
3096,#N/A,13351171.57,17801561.8
4114,SEVERE WINTER STORM,13282121.44,17507125.6
1921,"SEVERE STORMS, TORNADOES, AND FLOODING",13066488.27,17285168.22
3224,#N/A,12996268.84,12996268.84
4217,"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",12960691.5,17040764.62
1879,SEVERE WINTER STORM,12773947.54,16999869.04
4257,SEVERE STORM,12760808.75,16876933
1867,SEVERE STORMS AND FLOODING ASSOCIATED WITH TROPICAL DEPRESSION IDA AND A NOR'EAS,12726038.83,16691344.26
1900,FLOODING,12721044.7,16846317.16
4294,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",12693842.1,16233188.41
1922,SEVERE STORMS AND FLOODING,12671577.15,12885066.31
4099,HURRICANE SANDY,12666844.02,16872622.6
4231,SEVERE STORM,12627290.91,15475726.61
4183,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",12483579.65,18234383.68
3219,#N/A,12463123.57,12463123.57
1848,SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW,12436207.3,16523109.34
1796,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",12186818.01,16073750.96
4149,"SEVERE STORMS, TORNADOES, AND FLOODING",12102590.99,15923410.25
1779,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",12058395.64,16067035.08
4075,SEVERE STORMS AND STRAIGHT-LINE WINDS,12040508.41,16036675.99
1826,SEVERE WINTER STORM,11999525.1,15992056.11
3200,#N/A,11971323.67,15994282.53
1933,"SEVERE STORMS, TORNADOES, AND FLOODING",11889487.96,15746676.01
4254,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",11851415.87,15650022.29
4071,SEVERE STORMS AND STRAIGHT-LINE WINDS,11718720.76,15611663.42
1849,"SEVERE STORMS, FLOODING, STRAIGHT-LINE WINDS, AND TORNADOES",11534817.8,15269232.73
3299,SEVERE WINTER STORM,11498194.84,15232303.16
3110,#N/A,11416835.76,15222446.88
4201,PU'U O'O VOLCANIC ERUPTION AND LAVA FLOW,11358961.57,15030822.06
1828,SEVERE WINTER STORM,11300288.42,14989503.24
4215,SEVERE WINTER STORM ,11299141.71,14555071.99
4230,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",11199522.16,14796337.21
4186,"SEVERE STORMS, TORNADOES, AND FLOODING",11120552.06,14755937.54
4009,"SEVERE STORMS, FLOODING, AND TORNADOES",11095538.36,14663112.53
4113,SEVERE WINTER STORM,11090674.37,14697561.25
4226,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",11060954.03,14592211.03
4038,REMNANTS OF TROPICAL STORM LEE,11018960.86,14706234.12
4252,SEVERE WINTER STORMS,10988200.86,14622115.62
1824,"SEVERE WINTER STORM, RECORD AND NEAR RECORD SNOW",10887118.75,14428760.14
1761,SEVERE STORMS AND TORNADOES,10732656.8,14226904.88
3267,#N/A,10714436.88,14285093.43
4001,SEVERE STORMS AND FLOODING,10666699.48,14134420.89
4092,HURRICANE SANDY,10459122.12,13849189.99
4239,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDE",10443806.94,13908945.71
4128,SEVERE STORMS AND FLOODING,10220498.76,13554249.63
4150,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",10135201.52,13417135.03
4179,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",10125817.92,13402849.52
1748,SEVERE WINTER STORMS AND FLOODING,10068998.77,13414668.05
4146,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",10055751.14,13298663.24
1961,SEVERE WINTER STORM AND SNOWSTORM,9807841.2,13044854.81
1872,SEVERE STORMS AND FLOODING,9792672.66,12952058.88
1815,SEVERE WINTER STORM AND FLOODING,9781024.74,13031712.97
1775,SEVERE STORMS AND FLOODING,9638507.73,12747698.71
4173,SEVERE WINTER STORM AND SNOWSTORM,9618232.15,12722949.93
4213,SEVERE WINTER STORM AND SNOWSTORM,9603757.08,12703775.53
4298,SEVERE WINTER STORM,9553842.28,12719128.97
3300,56TH PRESIDENTIAL INAUGURATION,9540583.88,9540583.88
4346,HURRICANE IRMA,9533555.45,12633046.43
4097,HURRICANE SANDY,9531684.71,12553465.27
4174,"SEVERE STORMS,TORNADOES, AND FLOODING",9530678.74,13154100.04
3266,#N/A,9519165.63,12720000.59
3288,TROPICAL STORM FAY,9439761.29,12474705.26
3135,#N/A,9434506.96,12579342.15
1845,"SEVERE STORMS, TORNADOES, AND FLOODING",9418662.16,12435195.41
1904,SEVERE STORMS AND FLOODING,9398848.44,12445122.08
4003,SEVERE STORMS AND FLOODING,9389606.38,12423502.86
3120,#N/A,9380310.12,12589807.15
4219,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",9345621.47,12432387.84
4276,SEVERE STORMS AND FLOODING,9294202.25,12314558.02
1823,SEVERE WINTER STORM,9203600.91,12220935.54
1896,SEVERE WINTER STORMS AND SNOWSTORMS,9201061.54,12385464.02
3218,#N/A,9199292,9199292
4303,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",9145631.88,12023921.34
3192,#N/A,9134475.5,12191700.24
4236,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",9037157.59,12024066.48
4130,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",9033804.83,11539147.7
4070,SEVERE STORMS AND STRAIGHT-LINE WINDS,8961650.25,11847225.98
1936,SEVERE STORMS AND FLOODING,8948160.85,11792384.62
1807,HURRICANE OMAR,8944143.65,11465125.79
4151,SEVERE STORMS AND FLOODING,8937132.02,9898032.01
1851,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",8931032.41,11897379.98
4295,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",8911281.23,11099094.82
4212,SEVERE WINTER STORM AND SNOWSTORM,8894054.75,11760235.65
4228,SEVERE STORMS AND FLOODING,8874506.45,11770800.61
4268,SEVERE STORMS AND FLOODING,8839144.11,11756756.27
3160,#N/A,8809499.06,11746111.34
3274,#N/A,8745537.23,11686423.11
4288,"SEVERE STORMS, FLOODING, AND MUDSLIDES",8709663.76,11504558.84
4076,SEVERE STORMS AND FLOODING,8709024.08,11572281.67
1955,SEVERE WINTER STORM AND FLOODING,8701342.5,11532889.98
4170,SNOWSTORM,8701290.63,11582465.34
3137,#N/A,8645443.19,11527256.91
4089,HURRICANE SANDY,8629934.62,11399003.57
3285,RECORD SNOW AND NEAR RECORD SNOW,8596849.56,11417809.86
3176,#N/A,8570397.4,11427196.11
4159,SEVERE STORMS AND FLOODING,8557926.01,11134519.1
4100,SEVERE WINTER STORM,8548088.1,11299005.98
1809," SEVERE STORMS, FLOODING, AND A TORNADO",8529243.13,11356158.47
3107,#N/A,8473682.7,11298243.59
4027,TROPICAL STORM IRENE,8341293.11,11113398.07
4124,"SEVERE STORMS, TORNADOES, AND FLOODING",8316941.51,10998898.06
3270,#N/A,8263015.49,11017353.59
3198,#N/A,8261610.1,11040693.18
4115,SEVERE WINTER STORM AND SNOWSTORM,8231034.73,10959740.2
4304,SEVERE WINTER STORM,8200780.66,10481959.11
4143,SEVERE STORMS AND FLOODING,8184156.32,10826266.1
3100,#N/A,8167866.69,10890488.81
1966,SEVERE WINTER STORM AND SNOWSTORM,8143719.94,10853913.18
